raw_feature,perm_importance_mean,perm_importance_std
src_ip_bytes,0.15924637723759602,0.0013235196128792393
dst_port,0.1455944431033933,0.0015847909978385106
conn_state,0.12023560179812151,0.0020514441011912675
src_port,0.10735399673391843,0.0025284120344031776
duration,0.09869587422037245,0.0024749836571854892
src_bytes,0.02901030990964095,0.0010791305093015083
proto,0.015209650094589012,0.0009578742455795601
dst_ip_bytes,0.0150588538446349,0.0008246317763691057
dns_query,0.006353544449370174,0.0003558514718103381
dst_bytes,0.003921954285072382,0.0005910821629947499
src_pkts,0.001747068211111835,0.00021537312552213404
dst_pkts,0.0010372830302169955,0.00016558784516065115
dns_RA,0.0008049189770322318,0.00020967107564310656
service,0.00047375147933357285,0.0002351866462501758
dns_rcode,0.0001477765764419825,6.996925336296182e-05
http_status_code,0.00012992138644951634,0.0
weird_name,2.0185962281371594e-05,4.037192456274319e-05
dns_rejected,4.14587968922131e-06,4.464474331880555e-05
ssl_cipher,0.0,0.0
ssl_resumed,0.0,0.0
ssl_subject,0.0,0.0
ssl_established,0.0,0.0
dns_qclass,0.0,0.0
ssl_version,0.0,0.0
http_request_body_len,0.0,0.0
http_version,0.0,0.0
http_user_agent,0.0,0.0
http_response_body_len,0.0,0.0
http_method,0.0,0.0
http_uri,0.0,0.0
ssl_issuer,0.0,0.0
http_trans_depth,0.0,0.0
http_orig_mime_types,0.0,0.0
http_resp_mime_types,0.0,0.0
weird_addl,0.0,0.0
weird_notice,0.0,0.0
dns_RD,-1.3650041882273811e-05,0.0001082265947065321
missed_bytes,-2.032185735614256e-05,4.064371471228512e-05
dns_qtype,-4.498392397096484e-05,9.550363089264751e-05
dns_AA,-7.12288690286389e-05,0.00010964786544296542
