src_ip,dst_ip,weight,dominant_class,dominant_class_count,class_counts
192.168.1.193,192.168.1.37,75,backdoor,75,{'backdoor': 75}
192.168.1.30,192.168.1.152,47,dos,26,"{'password': 12, 'dos': 26, 'scanning': 9}"
192.168.1.37,192.168.1.193,38,ransomware,38,{'ransomware': 38}
192.168.1.33,192.168.1.193,37,ransomware,37,{'ransomware': 37}
192.168.1.30,192.168.1.190,32,dos,28,"{'scanning': 4, 'dos': 28}"
192.168.1.30,192.168.1.193,24,password,16,"{'password': 16, 'dos': 8}"
192.168.1.30,192.168.1.184,23,password,14,"{'password': 14, 'dos': 9}"
192.168.1.31,192.168.1.152,18,password,18,{'password': 18}
192.168.1.32,192.168.1.152,13,scanning,13,{'scanning': 13}
192.168.1.193,192.168.1.33,10,backdoor,10,{'backdoor': 10}
192.168.1.31,192.168.1.250,10,scanning,10,{'scanning': 10}
192.168.1.31,192.168.1.184,10,password,10,{'password': 10}
192.168.1.31,192.168.1.193,10,password,10,{'password': 10}
192.168.1.31,192.168.1.133,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.133,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.194,10,dos,10,{'dos': 10}
192.168.1.30,192.168.1.250,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.169,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.46,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.49,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.103,10,scanning,10,{'scanning': 10}
192.168.1.30,192.168.1.186,10,scanning,10,{'scanning': 10}
192.168.1.32,192.168.1.79,10,scanning,10,{'scanning': 10}
192.168.1.32,192.168.1.190,10,scanning,10,{'scanning': 10}
192.168.1.32,192.168.1.250,10,scanning,10,{'scanning': 10}
192.168.1.32,192.168.1.133,10,scanning,10,{'scanning': 10}
192.168.1.30,52.59.177.21,9,injection,9,{'injection': 9}
192.168.1.31,18.184.104.180,5,injection,5,{'injection': 5}
192.168.1.32,192.168.1.49,3,scanning,3,{'scanning': 3}
192.168.1.31,192.168.1.190,2,password,2,{'password': 2}
192.168.1.30,176.28.50.165,2,dos,2,{'dos': 2}
192.168.1.32,192.168.1.46,2,scanning,2,{'scanning': 2}
