host,alert_count
192.168.1.30,207
192.168.1.193,145
192.168.1.31,103
192.168.1.32,69
192.168.1.152,68
192.168.1.37,63
192.168.1.190,63
192.168.1.33,55
192.168.1.184,37
192.168.1.1,27
192.168.1.195,26
192.168.1.49,22
176.28.50.165,19
192.168.1.194,13
192.168.1.133,12
52.28.231.150,11
18.184.104.180,10
192.168.1.186,10
52.59.177.21,9
192.168.1.250,8
18.194.169.124,6
192.168.1.169,5
192.168.1.103,5
192.168.1.46,2
192.168.1.39,2
192.168.1.36,1
192.168.1.79,1
18.195.161.8,1
