raw_feature,mean_abs_shap
conn_state,0.10779708035309006
dst_ip_bytes,0.02680061722092604
src_ip_bytes,0.02142555582523397
dst_port,0.019674060812073416
duration,0.01716762209781736
dst_pkts,0.016466483680581
service,0.015271277568026438
src_port,0.01501874826919597
dns_rejected,0.014216062391753862
src_pkts,0.014047059375897218
src_bytes,0.01204116571362538
dst_bytes,0.011026201120094293
proto,0.008093670143924203
dns_rcode,0.006618985255644845
dns_RA,0.004921672199380091
dns_RD,0.003490440806019427
dns_AA,0.003431431134459997
dns_query,0.002779612835356635
dns_qtype,0.001437768065565674
dns_qclass,0.001164028043010639
missed_bytes,0.0011515203891011426
ssl_resumed,0.00013373236454730766
ssl_established,0.0001287985264878135
ssl_version,0.00012638384772370648
ssl_cipher,0.00012397081404198437
http_user_agent,5.715752878569695e-05
weird_name,5.510188460914324e-05
http_version,5.003463200661835e-05
weird_notice,4.5444527994445265e-05
http_trans_depth,3.773202745713124e-05
http_status_code,3.104205302170558e-05
http_method,2.2326227322901808e-05
http_uri,2.103102114250418e-05
http_resp_mime_types,2.0236937946651425e-05
http_response_body_len,9.070268805835348e-06
weird_addl,4.6254585170225525e-06
ssl_issuer,1.4375842858487976e-06
ssl_subject,1.4316506541817569e-06
http_orig_mime_types,7.368158188790303e-07
http_request_body_len,1.366005842805977e-07
