from_class,to_class,count
dos,injection,17
scanning,scanning,14
dos,scanning,14
ransomware,dos,12
injection,ddos,12
ddos,ddos,12
scanning,password,11
scanning,dos,11
dos,dos,11
ddos,backdoor,11
ddos,dos,11
backdoor,backdoor,11
injection,injection,10
password,injection,10
ransomware,ddos,10
backdoor,dos,10
dos,backdoor,9
password,ransomware,9
backdoor,ddos,9
injection,dos,9
dos,password,9
ddos,scanning,9
injection,backdoor,9
scanning,ransomware,8
password,password,8
backdoor,password,8
backdoor,scanning,8
dos,ransomware,8
scanning,ddos,8
password,dos,8
scanning,backdoor,8
password,scanning,8
injection,password,8
scanning,injection,8
injection,xss,7
xss,dos,7
ddos,password,7
backdoor,injection,7
ransomware,backdoor,7
backdoor,ransomware,7
backdoor,xss,6
ransomware,password,6
dos,xss,6
ddos,injection,6
xss,backdoor,6
ransomware,scanning,6
password,xss,6
injection,ransomware,6
ddos,xss,6
xss,ddos,6
password,ddos,5
injection,scanning,5
ddos,ransomware,5
ransomware,ransomware,5
dos,ddos,5
xss,scanning,5
xss,injection,5
password,backdoor,5
xss,xss,5
ransomware,injection,4
xss,ransomware,4
ransomware,xss,2
xss,password,2
scanning,xss,2
