acc,f1,precision,recall_tpr,fpr,roc_auc,pr_auc,seed,scenario,fit_s
0.9980044345898005,0.9823008849557522,0.9661508704061895,0.999,0.0020539906103286387,0.9999840962441314,0.9997471276100505,7,95_5,0.8825993000064045
0.9979118329466358,0.9170506912442397,0.8504273504273504,0.995,0.0020539906103286387,0.9999521713615024,0.9973794831914762,7,99_1,0.8825993000064045
0.9979490022172949,0.9818181818181818,0.9652173913043478,0.999,0.002112676056338028,0.9999838615023473,0.9997421160509491,21,95_5,0.8713743999833241
0.9978538283062645,0.9149425287356322,0.8468085106382979,0.995,0.002112676056338028,0.9999524647887323,0.9973581570061768,21,99_1,0.8713743999833241
0.9977827050997783,0.9803536345776032,0.9633204633204633,0.998,0.0022300469483568074,0.9999814553990609,0.9997054937080868,42,95_5,0.8371234000078402
0.997737819025522,0.9107551487414187,0.8396624472573839,0.995,0.0022300469483568074,0.9999448356807511,0.9970041220474725,42,99_1,0.8371234000078402
0.9977827050997783,0.9803536345776032,0.9633204633204633,0.998,0.0022300469483568074,0.9999828638497652,0.999726123021854,84,95_5,0.9201689999899827
0.997737819025522,0.9107551487414187,0.8396624472573839,0.995,0.0022300469483568074,0.999950410798122,0.9972461375352992,84,99_1,0.9201689999899827
0.998059866962306,0.9827840629611412,0.9670861568247822,0.999,0.001995305164319249,0.9999828638497652,0.9997231950070631,168,95_5,0.8411016999743879
0.997969837587007,0.9191685912240185,0.8540772532188842,0.995,0.001995305164319249,0.9999495305164319,0.9970597198672522,168,99_1,0.8411016999743879
